,memberID,b_g,total_hits
484,2289,1568 1,0.101701392
485,2289,252 1,0.203402785
486,2289,260 1,0.101701392
487,2289,267 1,0.203402785
488,2289,375 1,0.508506962
489,2289,388 1,0.406805569
490,2289,396 1,0.101701392
491,2289,485 1,0.101701392
492,2289,626 1,0.203402785
493,2289,692 1,1.830625061
494,2320,491 1,0.637813115
495,2367,267 1,0.057432619
496,2453,1548 1,2.564718122
497,2453,403 1,1
498,2464,1110 1,1
499,2464,1214 0,47.9959526
500,2464,1214 1,90.62318086
501,2551,285 0,2
502,2551,566 0,0.810110972
503,2551,835 0,0.475049863
504,2551,836 0,0.180092312
505,2551,863 0,0.064866482
506,2586,924 1,0.101701392
507,2870,1141 0,0.101701392
508,2870,1144 1,0.057432619
509,2870,115 1,0.101701392
510,2870,1231 1,0.344595716
511,2870,1281 2,0.203402785
512,2870,137 1,0.172297858
513,2870,1390 2,0.101701392
514,2870,15 0,0.114865239
515,2870,15 1,3.594100167
516,2870,1509 1,0.101701392
517,2870,18 1,0.574326193
518,2870,2061 2,0.057432619
519,2870,2261 2,0.114865239
520,2870,2551 2,0.057432619
521,2870,259 1,0.318906557
522,2870,2591 2,0.057432619
523,2870,267 1,0.08986586
524,2870,285 1,0.057432619
525,2870,349 0,0.101701392
526,2870,349 1,1.3221181
527,2870,365 1,0.564718122
528,2870,383 1,0.032433241
529,2870,385 1,0.057432619
530,2870,388 0,0.43923881
531,2870,388 1,7.625573513
532,2870,388 2,0.101701392
533,2870,396 0,1.9454903
534,2870,396 1,5.791696348
535,2870,425 0,0.915312531
536,2870,425 1,1.118715315
537,2870,485 1,0.057432619
538,2870,491 1,0.318906557
539,2870,626 1,0.114865239
540,2870,674 1,0.057432619
541,2870,700 0,0.101701392
542,2870,716 0,0.101701392
543,2870,718 1,0.114865239
544,2870,836 1,0.064866482
545,2912,172 1,0.516893573
546,2912,238 1,0.287163096
547,2912,388 1,4.422311684
548,2923,1214 0,16.20819634
549,2923,1214 1,141.7367897
550,2923,626 0,0.101701392
551,3139,383 1,0.318906557
552,3171,1011 1,0.057432619
553,3171,103 1,0.101701392
554,3171,1137 1,0.101701392
555,3171,1225 1,0.203402785
556,3171,1324 1,0.057432619
557,3171,1509 1,0.203402785
558,3171,152 1,0.305104177
559,3171,2 1,0.101701392
560,3171,238 1,4.576562654
561,3171,25 1,2.6442362
562,3171,266 1,0.057432619
563,3171,267 1,0.057432619
564,3171,268 1,0.101701392
565,3171,285 1,0.305104177
566,3171,356 1,1.172297858
567,3171,375 1,2.135729238
568,3171,385 1,0.516893573
569,3171,425 1,0.229730477
570,3171,464 1,0.203402785
571,3171,485 1,0.203402785
572,3171,555 1,2.135729238
573,3171,59 1,0.915312531
574,3171,618 1,0.101701392
575,3171,626 1,0.101701392
576,3171,7 1,0.057432619
577,3171,92 1,0.101701392
578,3171,924 1,0.711909746
579,3239,115 1,0.564718122
580,3239,2 1,0.564718122
581,3359,866 1,0.203402785
582,3429,115 1,0.032433241
583,3429,1176 1,0.603371863
584,3429,260 1,0.08986586
585,3429,350 1,0.08986586
586,3429,375 1,0.376339177
587,3429,722 1,9.886103277
588,3429,767 1,2.964529037
589,3429,796 1,0.032433241
590,3429,914 1,0.564718122
591,3429,924 1,0.057432619
592,3429,980 1,0.032433241
593,3429,998 1,0.216566631
594,3434,1214 0,0.670246356
595,3434,1214 1,988.4366214
596,3434,866 1,0.114865239
597,3436,388 1,0.172297858
598,3452,1214 1,1.694154366
599,3452,552 1,0.032433241
600,3455,1214 0,2.82359061
601,3455,1214 1,198.9207927
602,3488,308 0,0.057432619
603,3488,588 0,0.057432619
604,3488,790 0,0.305104177
605,3488,856 0,0.057432619
606,3517,267 1,0.639553266
607,3517,411 1,0.057432619
608,3517,425 1,38.11486524
609,3517,7 1,4.838717372
